=== PROTOTYPE LEADS ANALYSIS ===
Total Leads (Score >= 2.0): 639
Average Score: 3.05
Max Score: 5.0

--- TOP 20 CANDIDATES ---\nSCORE    | SEM_ID               | IE_ID                | SKEL   | ORT    | ARTIC
--------------------------------------------------------------------------------
5.0      | أعدى                 | above                | 0.0    | 0.0    | 0.5
5.0      | أعدى                 | above                | 0.0    | 0.0    | 0.5
5.0      | أعدى                 | above's              | 0.0    | 0.0    | 0.5
5.0      | أم التلافيف          | abdomen              | 0.0    | 0.0    | 0.5
5.0      | أم التلافيف          | abdomen              | 0.0    | 0.0    | 0.5
5.0      | أناف                 | above                | 0.0    | 0.0    | 0.5
5.0      | أناف                 | above                | 0.0    | 0.0    | 0.5
5.0      | أناف                 | above's              | 0.0    | 0.0    | 0.5
5.0      | إدارة                | above                | 0.0    | 0.0    | 0.5
5.0      | إدارة                | above                | 0.0    | 0.0    | 0.5
5.0      | إدارة                | above's              | 0.0    | 0.0    | 0.5
5.0      | اجتاز                | above                | 0.0    | 0.0    | 0.5
5.0      | اجتاز                | above                | 0.0    | 0.0    | 0.5
5.0      | اجتاز                | above's              | 0.0    | 0.0    | 0.5
5.0      | استضاف               | above                | 0.0    | 0.0    | 0.5
5.0      | استضاف               | above                | 0.0    | 0.0    | 0.5
5.0      | استضاف               | above's              | 0.0    | 0.0    | 0.5
3.0      | ء ف ل                | absent               | 0.0    | 0.0    | 0.5
3.0      | آتى                  | about                | 0.0    | 0.0    | 0.5
3.0      | آتى                  | about                | 0.0    | 0.0    | 0.5
