hf_lemma,hf_ipa,qur_lemma,qur_ipa,score
آء,ʔaːʔ,أ,ʔaː,0.725
آء,ʔaːʔ,أَم,ʔaːam,0.62
آء,ʔaːʔ,أَو,ʔaːaw,0.62
آء,ʔaːʔ,شاءَ,ʃaːʔa,0.62
آء,ʔaːʔ,شَىْء,ʃaaːʔ,0.62
آء,ʔaːʔ,ماء,maːʔ,0.725
آس,ʔaːs,أ,ʔaː,0.725
آس,ʔaːs,أَم,ʔaːam,0.62
آس,ʔaːs,ناس,naːs,0.725
آس,ʔaːs,أَو,ʔaːaw,0.62
آف,ʔaːf,أ,ʔaː,0.725
آف,ʔaːf,أَم,ʔaːam,0.62
آف,ʔaːf,أَو,ʔaːaw,0.62
آم,ʔaːm,آمَنَ,ʔaːmana,0.625
آم,ʔaːm,أ,ʔaː,0.725
آم,ʔaːm,أَم,ʔaːam,0.86
آم,ʔaːm,أَلِيم,ʔaːalijm,0.53
آم,ʔaːm,أَبْكَم,ʔaːabkam,0.53
آم,ʔaːm,أَو,ʔaːaw,0.62
آم,ʔaːm,قامَ,qaːma,0.62
آم,ʔaːm,أَنتُمْ,ʔaːantum,0.53
أبو,ʔaːbw,أ,ʔaː,0.57
أبو,ʔaːbw,أَم,ʔaːam,0.57
أبو,ʔaːbw,أَبْكَم,ʔaːabkam,0.53
أبو,ʔaːbw,أَو,ʔaːaw,0.785
أبي,ʔaːbj,أ,ʔaː,0.57
أبي,ʔaːbj,أَم,ʔaːam,0.57
أبي,ʔaːbj,أَلِيم,ʔaːalijm,0.53
أبي,ʔaːbj,أَبْكَم,ʔaːabkam,0.53
أبي,ʔaːbj,أَو,ʔaːaw,0.57
أبي,ʔaːbj,أَيّ,ʔaːajj,0.692
أتو,ʔaːtw,أ,ʔaː,0.57
أتو,ʔaːtw,أَم,ʔaːam,0.57
أتو,ʔaːtw,أَو,ʔaːaw,0.785
أتو,ʔaːtw,أَنتُمْ,ʔaːantum,0.53
أتو,ʔaːtw,أَتَى,ʔaːataaː,0.575
أتي,ʔaːtj,أ,ʔaː,0.57
أتي,ʔaːtj,أَم,ʔaːam,0.57
أتي,ʔaːtj,أَلِيم,ʔaːalijm,0.53
أتي,ʔaːtj,أَو,ʔaːaw,0.57
أتي,ʔaːtj,أَيّ,ʔaːajj,0.692
أتي,ʔaːtj,أَنتُمْ,ʔaːantum,0.53
